nickname,name,nationality,team,total_kills,headshot_%,total_deaths,kills/deaths,damage/round,grenade_dmg/round,maps_played,rounds_played,kills/round,assists/round,deaths/round,saved_by_teammate/round,saved_teammates/round,rating
malbsMd,Mario Samayoa,Guatemala,00Nation,9092.0,63.1,8731.0,01.04,80.7,4.8,473.0,12020.0,0.76,0.12,0.73,0.11,0.11,1.1
b1t,Valeriy Vakhovskiy,Ukraine,Natus Vincere,7066.0,69.1,6356.0,1.11,76.2,4.4,379.0,10024.0,0.7,0.11,0.63,0.1,0.1,1.12
koosta,Kenneth Suen,United States,No team,18087.0,37.4,16737.0,01.08,76.4,3.6,951.0,25077.0,0.72,0.12,0.67,0.09,0.1,01.06
COLDYY1,Pavel Veklenko,Ukraine,No team,17902.0,55.1,16184.0,1.11,77.5,3.9,947.0,24917.0,0.72,0.13,0.65,0.09,0.11,01.06
SHiPZ,Georgi Grigorov,Bulgaria,SKADE,29725.0,50.3,27795.0,01.07,79.2,3.5,1510.0,40164.0,0.74,0.12,0.69,0.1,0.1,1.1
roeJ,Fredrik Jørgensen,Denmark,Copenhagen Flames,15156.0,55.9,14003.0,01.08,83.0,4.2,769.0,20409.0,0.74,0.15,0.69,0.11,0.11,1.15
chelo,Marcelo Cespedes,Brazil,MIBR,14919.0,61.3,13724.0,01.09,77.8,3.5,810.0,20915.0,0.71,0.13,0.66,0.1,0.1,01.06
pancc,Fillipe Martins,Brazil,No team,10776.0,53.6,10008.0,01.08,79.7,5.0,566.0,14889.0,0.72,0.14,0.67,0.09,0.1,1.11
Skadoodle,Tyler Latham,United States,No team,18365.0,24.8,15907.0,1.15,67.5,2.7,1047.0,27129.0,0.68,0.11,0.59,0.09,0.09,01.06
flying,Peiqi Song,China,Invictus,7505.0,50.5,6987.0,01.07,79.1,3.7,381.0,10193.0,0.74,0.12,0.69,0.09,0.1,01.09
SLOWLY,Kelun Sun,China,TYLOO,9491.0,59.6,8856.0,01.07,79.3,2.8,491.0,13014.0,0.73,0.13,0.68,0.1,0.11,1.12
Maka,Bryan Canda,France,No team,21463.0,36.1,19463.0,1.1,74.7,4.6,1141.0,30292.0,0.71,0.11,0.64,0.09,0.08,1.1
suNny,Miikka Kemppi,Finland,GORILLAZ,25436.0,47.4,23829.0,01.07,80.7,4.9,1310.0,34532.0,0.74,0.14,0.69,0.09,0.09,01.06
sdy,Viktor Orudzhev,Ukraine,MAD Lions,18364.0,50.8,16476.0,1.11,77.4,4.2,998.0,26173.0,0.7,0.13,0.63,0.1,0.11,1.11
TOR,Tosapol Saekow,Thailand,No team,8271.0,28.9,7614.0,01.09,77.0,2.9,452.0,11472.0,0.72,0.12,0.66,0.08,0.09,01.06
Sobol,Kamil Sobolewski,Poland,Wisla Krakow,13196.0,52.2,12206.0,01.08,78.5,4.3,674.0,18302.0,0.72,0.13,0.67,0.08,0.08,01.09
olofmeister,Olof Kajbjer,Sweden,FaZe,29037.0,46.6,26340.0,1.1,72.8,4.4,1559.0,40766.0,0.71,0.13,0.65,0.09,0.08,01.06
nexa,Nemanja Isaković,Serbia,G2,22324.0,51.1,20189.0,1.11,76.6,4.4,1204.0,31837.0,0.7,0.13,0.63,0.1,0.11,01.06
Gratisfaction,Sean Kaiwai,New Zealand,EXTREMUM,16191.0,31.9,14502.0,1.12,73.2,3.3,897.0,23347.0,0.69,0.12,0.62,0.1,0.1,01.05
REDSTAR,Hristiyan Pironkov,Bulgaria,No team,11469.0,48.3,10329.0,1.11,75.1,4.3,611.0,16217.0,0.71,0.12,0.64,0.1,0.1,1.1
broky,Helvijs Saukants,Latvia,FaZe,10984.0,39.5,9797.0,1.12,72.5,3.5,600.0,15953.0,0.69,0.11,0.61,0.1,0.11,01.09
tabseN,Johannes Wodarz,Germany,BIG,35580.0,48.7,34058.0,01.04,84.9,8.1,1839.0,48497.0,0.73,0.16,0.7,0.09,0.09,01.05
